Organisation,SectorJo,Status,RegionCODE,GovCODE,Total
NRC,EDUCATION,B-Preventing-deterioration,5,2,830000
NRC,EDUCATION,B-Preventing-deterioration,4,1,345000
SCI,EDUCATION,B-Preventing-deterioration,2,1705,150000
SCI,EDUCATION,B-Preventing-deterioration,5,2,1000000
SCI,EDUCATION,B-Preventing-deterioration,1,1707,80000
SCI,EDUCATION,B-Preventing-deterioration,1,1711,150000
SCI,EDUCATION,B-Preventing-deterioration,4,1,350000
SCI,EDUCATION,B-Preventing-deterioration,2,1712,75000
TDHI,EDUCATION,B-Preventing-deterioration,3,1703,80000
TDHI,EDUCATION,B-Preventing-deterioration,3,1706,62000
TDHI,EDUCATION,B-Preventing-deterioration,2,1712,13000
UNHCR,EDUCATION,B-Preventing-deterioration,4,1,3400000
UNICEF,EDUCATION,B-Preventing-deterioration,4,1,13299960
WVI,EDUCATION,B-Preventing-deterioration,1,1707,3600
WVI,EDUCATION,B-Preventing-deterioration,2,1712,3600
WarChildUK,EDUCATION,B-Preventing-deterioration,1,1707,267610
ILO,EDUCATION,C-Capacity-building/Resilience,2,1705,10000
ILO,EDUCATION,C-Capacity-building/Resilience,1,1707,10000
ILO,EDUCATION,C-Capacity-building/Resilience,1,1711,10000
JRS,EDUCATION,C-Capacity-building/Resilience,2,1705,550000
JRS,EDUCATION,C-Capacity-building/Resilience,1,1707,117000
NICCOD,EDUCATION,C-Capacity-building/Resilience,2,1712,128000
NRC,EDUCATION,C-Capacity-building/Resilience,5,2,4418000
NRC,EDUCATION,C-Capacity-building/Resilience,4,1,302000
RI,EDUCATION,C-Capacity-building/Resilience,5,2,1000000
SCI,EDUCATION,C-Capacity-building/Resilience,5,2,20000
SCI,EDUCATION,C-Capacity-building/Resilience,4,1,600000
Taghyeer,EDUCATION,C-Capacity-building/Resilience,2,1705,20000
UNESCO,EDUCATION,C-Capacity-building/Resilience,4,1,1218468
UNHCR,EDUCATION,C-Capacity-building/Resilience,2,1705,350000
UNICEF,EDUCATION,C-Capacity-building/Resilience,4,1,3018000
Caritas,FOOD,A-Life-saving,4,1,2118644
JHCO,FOOD,A-Life-saving,4,1,4000000
UNHCR,FOOD,A-Life-saving,4,1,1489199
WFP,FOOD,A-Life-saving,4,1,300000000
ACTED,FOOD,B-Preventing-deterioration,4,1,1700000
FAO,FOOD,B-Preventing-deterioration,4,1,4950000
WFP,FOOD,B-Preventing-deterioration,4,1,5000000
WVI,FOOD,B-Preventing-deterioration,2,1705,500000
ACF,FOOD,C-Capacity-building/Resilience,1,1707,750000
FAO,FOOD,C-Capacity-building/Resilience,4,1,1550000
JHCO,FOOD,C-Capacity-building/Resilience,4,1,12500
WFP,FOOD,C-Capacity-building/Resilience,4,1,50000
Caritas,HEALTH,A-Life-saving,2,1705,6800000
IMC,HEALTH,A-Life-saving,5,2,355820
IMC,HEALTH,A-Life-saving,4,1,1080000
IMC,HEALTH,A-Life-saving,2,1712,3500000
IOM,HEALTH,A-Life-saving,1,1704,277000
IOM,HEALTH,A-Life-saving,3,1709,184655
IOM,HEALTH,A-Life-saving,4,1,200000
IRC,HEALTH,A-Life-saving,1,1707,1530000
IRC,HEALTH,A-Life-saving,1,1711,2030000
IRC,HEALTH,A-Life-saving,4,1,500000
JHAS,HEALTH,A-Life-saving,4,1,6290000
MDM,HEALTH,A-Life-saving,5,2,1400000
MDM,HEALTH,A-Life-saving,1,1707,1400000
NICCOD,HEALTH,A-Life-saving,2,1712,30000
RHAS,HEALTH,A-Life-saving,1,1707,480000
RHAS,HEALTH,A-Life-saving,2,1712,240000
RI,HEALTH,A-Life-saving,1,1707,950000
RI,HEALTH,A-Life-saving,1,1704,750000
RI,HEALTH,A-Life-saving,1,1711,650000
UNFPA,HEALTH,A-Life-saving,2,1702,12000
UNFPA,HEALTH,A-Life-saving,2,1705,60400
UNFPA,HEALTH,A-Life-saving,5,2,132800
UNFPA,HEALTH,A-Life-saving,1,1707,56800
UNFPA,HEALTH,A-Life-saving,1,1704,6400
UNFPA,HEALTH,A-Life-saving,1,1711,42000
UNFPA,HEALTH,A-Life-saving,4,1,3400000
UNFPA,HEALTH,A-Life-saving,2,1712,21600
UNHCR,HEALTH,A-Life-saving,2,1705,2290446
UNHCR,HEALTH,A-Life-saving,5,2,3869337.5
UNHCR,HEALTH,A-Life-saving,1,1707,1274091
UNHCR,HEALTH,A-Life-saving,1,1711,1260422.6
UNHCR,HEALTH,A-Life-saving,4,1,5179736.6
UNHCR,HEALTH,A-Life-saving,2,1712,518050
UNICEF,HEALTH,A-Life-saving,4,1,5913151
UPP,HEALTH,A-Life-saving,2,1705,46227
UPP,HEALTH,A-Life-saving,1,1707,46227
UPP,HEALTH,A-Life-saving,2,1712,46227
WHO,HEALTH,A-Life-saving,1,1707,800000
WHO,HEALTH,A-Life-saving,4,1,8539000
ACTED,HEALTH,B-Preventing-deterioration,1,1707,200000
ACTED,HEALTH,B-Preventing-deterioration,4,1,100000
ActionAid,HEALTH,B-Preventing-deterioration,2,1705,1425000
CVT,HEALTH,B-Preventing-deterioration,2,1705,1250000
CVT,HEALTH,B-Preventing-deterioration,2,1712,1250000
FRC,HEALTH,B-Preventing-deterioration,2,1705,1800000
HI,HEALTH,B-Preventing-deterioration,4,1,3000000
IMC,HEALTH,B-Preventing-deterioration,1,1701,171809
IMC,HEALTH,B-Preventing-deterioration,2,1702,93384
IMC,HEALTH,B-Preventing-deterioration,2,1705,362325
IMC,HEALTH,B-Preventing-deterioration,1,1707,225200
IMC,HEALTH,B-Preventing-deterioration,1,1708,87084
IMC,HEALTH,B-Preventing-deterioration,1,1704,4725
IMC,HEALTH,B-Preventing-deterioration,3,1709,87084
IMC,HEALTH,B-Preventing-deterioration,1,1711,1060197
IMC,HEALTH,B-Preventing-deterioration,2,1712,141534
IOM,HEALTH,B-Preventing-deterioration,1,1704,154089
IOM,HEALTH,B-Preventing-deterioration,3,1709,102726
IR,HEALTH,B-Preventing-deterioration,2,1705,1990864
IR,HEALTH,B-Preventing-deterioration,1,1707,2215088.4
IRD,HEALTH,B-Preventing-deterioration,2,1702,210700
IRD,HEALTH,B-Preventing-deterioration,2,1705,200000
IRD,HEALTH,B-Preventing-deterioration,1,1707,221400
IRD,HEALTH,B-Preventing-deterioration,1,1704,210700
IRD,HEALTH,B-Preventing-deterioration,3,1709,210700
IRD,HEALTH,B-Preventing-deterioration,1,1711,210700
IRD,HEALTH,B-Preventing-deterioration,2,1712,210700
JHAS,HEALTH,B-Preventing-deterioration,2,1702,350000
JHAS,HEALTH,B-Preventing-deterioration,1,1704,350000
JHAS,HEALTH,B-Preventing-deterioration,4,1,600000
MDM,HEALTH,B-Preventing-deterioration,5,2,645000
MDM,HEALTH,B-Preventing-deterioration,1,1707,645000
MEDAIR,HEALTH,B-Preventing-deterioration,4,1,1128000
NICCOD,HEALTH,B-Preventing-deterioration,2,1712,147500
OPM,HEALTH,B-Preventing-deterioration,2,1705,115000
RI,HEALTH,B-Preventing-deterioration,2,1705,3125000
SCJordan,HEALTH,B-Preventing-deterioration,4,1,2000000
TDHI,HEALTH,B-Preventing-deterioration,3,1703,80000
TDHI,HEALTH,B-Preventing-deterioration,3,1706,116000
TDHI,HEALTH,B-Preventing-deterioration,2,1712,59000
UNFPA,HEALTH,B-Preventing-deterioration,2,1702,259089
UNFPA,HEALTH,B-Preventing-deterioration,2,1705,695446
UNFPA,HEALTH,B-Preventing-deterioration,5,2,2269070
UNFPA,HEALTH,B-Preventing-deterioration,1,1707,398179
UNFPA,HEALTH,B-Preventing-deterioration,1,1704,289089
UNFPA,HEALTH,B-Preventing-deterioration,1,1711,139089
UNFPA,HEALTH,B-Preventing-deterioration,4,1,1940000
UNFPA,HEALTH,B-Preventing-deterioration,2,1712,139089
UNHCR,HEALTH,B-Preventing-deterioration,2,1702,35322.6
UNHCR,HEALTH,B-Preventing-deterioration,2,1705,650000
UNHCR,HEALTH,B-Preventing-deterioration,5,2,2091357
UNHCR,HEALTH,B-Preventing-deterioration,1,1707,554201
UNHCR,HEALTH,B-Preventing-deterioration,1,1704,29169.6
UNHCR,HEALTH,B-Preventing-deterioration,3,1709,25927.6
UNHCR,HEALTH,B-Preventing-deterioration,1,1711,296542
UNHCR,HEALTH,B-Preventing-deterioration,4,1,5688254
UNHCR,HEALTH,B-Preventing-deterioration,2,1712,66000
UNICEF,HEALTH,B-Preventing-deterioration,4,1,5587906
UNOPS,HEALTH,B-Preventing-deterioration,4,1,1900000
UPP,HEALTH,B-Preventing-deterioration,2,1705,20250
WHO,HEALTH,B-Preventing-deterioration,4,1,2490000
FRC,HEALTH,C-Capacity-building/Resilience,2,1705,1200000
IMC,HEALTH,C-Capacity-building/Resilience,1,1701,525
IMC,HEALTH,C-Capacity-building/Resilience,2,1702,700
IMC,HEALTH,C-Capacity-building/Resilience,2,1705,139677
IMC,HEALTH,C-Capacity-building/Resilience,1,1707,30125
IMC,HEALTH,C-Capacity-building/Resilience,1,1704,525
IMC,HEALTH,C-Capacity-building/Resilience,1,1711,11750
IMC,HEALTH,C-Capacity-building/Resilience,2,1712,10825
JHAS,HEALTH,C-Capacity-building/Resilience,4,1,2180000
MDM,HEALTH,C-Capacity-building/Resilience,5,2,30000
MDM,HEALTH,C-Capacity-building/Resilience,1,1707,30000
MEDAIR,HEALTH,C-Capacity-building/Resilience,4,1,390000
OPM,HEALTH,C-Capacity-building/Resilience,2,1705,25000
UNFPA,HEALTH,C-Capacity-building/Resilience,4,1,185000
UNHCR,HEALTH,C-Capacity-building/Resilience,5,2,14250
UNHCR,HEALTH,C-Capacity-building/Resilience,1,1707,3900
UNHCR,HEALTH,C-Capacity-building/Resilience,1,1711,3750
UNHCR,HEALTH,C-Capacity-building/Resilience,4,1,700000
UNHCR,HEALTH,C-Capacity-building/Resilience,2,1712,2100
WHO,HEALTH,C-Capacity-building/Resilience,4,1,1260000
WHO,HEALTH,C-Capacity-building/Resilience,2,1712,480000
ACTED,NFI,A-Life-saving,5,2,3840000
ACTED,NFI,A-Life-saving,4,1,900000
CHF,NFI,A-Life-saving,3,1703,25000
CHF,NFI,A-Life-saving,1,1704,25000
CHF,NFI,A-Life-saving,3,1709,25000
CHF,NFI,A-Life-saving,3,1706,25000
ICMC,NFI,A-Life-saving,1,1701,430000
LWF,NFI,A-Life-saving,5,2,393000
LWF,NFI,A-Life-saving,1,1707,335000
LWF,NFI,A-Life-saving,1,1711,335000
MA,NFI,A-Life-saving,1,1704,170000
MEDAIR,NFI,A-Life-saving,1,1707,382000
MEDAIR,NFI,A-Life-saving,1,1711,1146000
NICCOD,NFI,A-Life-saving,2,1712,835000
NRC,NFI,A-Life-saving,5,2,13400000
TGH,NFI,A-Life-saving,2,1705,345000
TGH,NFI,A-Life-saving,1,1707,238000
UNHCR,NFI,A-Life-saving,5,2,32155857
WVI,NFI,A-Life-saving,1,1711,2480000
WVI,NFI,A-Life-saving,2,1712,994500
WarChildUK,NFI,A-Life-saving,1,1707,98730
ACTED,NFI,B-Preventing-deterioration,4,1,1050000
AVSI,NFI,B-Preventing-deterioration,2,1710,85490
AVSI,NFI,B-Preventing-deterioration,2,1712,177350
CARE,NFI,B-Preventing-deterioration,2,1705,786000
CARE,NFI,B-Preventing-deterioration,1,1707,786000
CARE,NFI,B-Preventing-deterioration,1,1711,456000
CARE,NFI,B-Preventing-deterioration,2,1712,472000
CHF,NFI,B-Preventing-deterioration,3,1703,25000
CHF,NFI,B-Preventing-deterioration,1,1704,25000
CHF,NFI,B-Preventing-deterioration,3,1709,25000
CHF,NFI,B-Preventing-deterioration,3,1706,25000
Caritas,NFI,B-Preventing-deterioration,2,1705,1852600
DRC,NFI,B-Preventing-deterioration,2,1705,750730
DRC,NFI,B-Preventing-deterioration,1,1704,265000
DRC,NFI,B-Preventing-deterioration,3,1709,375000
DRC,NFI,B-Preventing-deterioration,4,1,110000
DRC,NFI,B-Preventing-deterioration,3,1706,155300
ICMC,NFI,B-Preventing-deterioration,1,1701,50000
ICMC,NFI,B-Preventing-deterioration,1,1707,50000
ICMC,NFI,B-Preventing-deterioration,1,1711,50000
IR,NFI,B-Preventing-deterioration,1,1707,250000
JEN,NFI,B-Preventing-deterioration,5,2,1500000
JHAS,NFI,B-Preventing-deterioration,4,1,3091400
LWF,NFI,B-Preventing-deterioration,5,2,282327
LWF,NFI,B-Preventing-deterioration,1,1707,211745
LWF,NFI,B-Preventing-deterioration,1,1711,211745
MA,NFI,B-Preventing-deterioration,1,1707,160000
MPDL,NFI,B-Preventing-deterioration,2,1712,60000
MercyCorps,NFI,B-Preventing-deterioration,2,1705,350000
MercyCorps,NFI,B-Preventing-deterioration,5,2,200000
MercyCorps,NFI,B-Preventing-deterioration,1,1707,1500000
MercyCorps,NFI,B-Preventing-deterioration,1,1708,200000
MercyCorps,NFI,B-Preventing-deterioration,1,1711,1500000
NRC,NFI,B-Preventing-deterioration,5,2,850000
OPM,NFI,B-Preventing-deterioration,2,1705,220000
OPM,NFI,B-Preventing-deterioration,2,1710,40000
PU-AMI,NFI,B-Preventing-deterioration,2,1712,434000
TDHI,NFI,B-Preventing-deterioration,3,1703,180000
TDHI,NFI,B-Preventing-deterioration,3,1706,142000
TGH,NFI,B-Preventing-deterioration,2,1705,175000
TGH,NFI,B-Preventing-deterioration,1,1707,111000
UNFPA,NFI,B-Preventing-deterioration,5,2,400000
UNFPA,NFI,B-Preventing-deterioration,4,1,2000000
UNHCR,NFI,B-Preventing-deterioration,5,2,18674732
UNHCR,NFI,B-Preventing-deterioration,4,1,3156800
WVI,NFI,B-Preventing-deterioration,1,1707,110000
WVI,NFI,B-Preventing-deterioration,2,1712,0
SCI,NFI,C-Capacity-building/Resilience,5,2,1000000
SCI,NFI,C-Capacity-building/Resilience,4,1,1050000
DRC,PROTECTION,A-Life-saving,2,1705,1650000
HI,PROTECTION,A-Life-saving,4,1,3500000
IMC,PROTECTION,A-Life-saving,2,1702,64380
IMC,PROTECTION,A-Life-saving,1,1707,232500
IMC,PROTECTION,A-Life-saving,1,1711,126120
IMC,PROTECTION,A-Life-saving,4,1,116500
IMC,PROTECTION,A-Life-saving,2,1712,73380
IOM,PROTECTION,A-Life-saving,4,1,6442131
IRC,PROTECTION,A-Life-saving,1,1707,3400000
IRC,PROTECTION,A-Life-saving,1,1711,1700000
IRC,PROTECTION,A-Life-saving,4,1,1000000
SCJordan,PROTECTION,A-Life-saving,4,1,10000
UNFPA,PROTECTION,A-Life-saving,1,1701,41250
UNFPA,PROTECTION,A-Life-saving,2,1702,82500
UNFPA,PROTECTION,A-Life-saving,2,1705,165000
UNFPA,PROTECTION,A-Life-saving,5,2,289960
UNFPA,PROTECTION,A-Life-saving,1,1707,82500
UNFPA,PROTECTION,A-Life-saving,1,1708,41250
UNFPA,PROTECTION,A-Life-saving,3,1709,55000
UNFPA,PROTECTION,A-Life-saving,1,1711,165000
UNFPA,PROTECTION,A-Life-saving,2,1712,82500
UNHCR,PROTECTION,A-Life-saving,2,1705,4521000
UNHCR,PROTECTION,A-Life-saving,5,2,1552348
UNHCR,PROTECTION,A-Life-saving,1,1711,2195000
UNHCR,PROTECTION,A-Life-saving,4,1,13711500
UNICEF,PROTECTION,A-Life-saving,5,2,5479370
UNICEF,PROTECTION,A-Life-saving,4,1,4027573
UPP,PROTECTION,A-Life-saving,2,1702,24134
UPP,PROTECTION,A-Life-saving,2,1705,59374
UPP,PROTECTION,A-Life-saving,1,1707,2682
UPP,PROTECTION,A-Life-saving,1,1704,24134
UnWomen,PROTECTION,A-Life-saving,1,1707,80000
WarChildUK,PROTECTION,A-Life-saving,1,1707,38102
WarChildUK,PROTECTION,A-Life-saving,1,1708,74024
WarChildUK,PROTECTION,A-Life-saving,1,1704,38012
ACF,PROTECTION,B-Preventing-deterioration,1,1707,1680000
ACTED,PROTECTION,B-Preventing-deterioration,5,2,150000
ACTED,PROTECTION,B-Preventing-deterioration,4,1,50000
AVSI,PROTECTION,B-Preventing-deterioration,3,1703,290000
AVSI,PROTECTION,B-Preventing-deterioration,1,1711,165000
AVSI,PROTECTION,B-Preventing-deterioration,2,1712,165000
CARE,PROTECTION,B-Preventing-deterioration,5,2,1500000
CHF,PROTECTION,B-Preventing-deterioration,1,1707,3130000
CHF,PROTECTION,B-Preventing-deterioration,1,1711,3130000
CHF,PROTECTION,B-Preventing-deterioration,3,1706,3130000
DRC,PROTECTION,B-Preventing-deterioration,2,1705,3004000
DRC,PROTECTION,B-Preventing-deterioration,1,1704,455500
DRC,PROTECTION,B-Preventing-deterioration,3,1709,490500
DRC,PROTECTION,B-Preventing-deterioration,3,1706,30000
FPSC,PROTECTION,B-Preventing-deterioration,2,1705,178000
FPSC,PROTECTION,B-Preventing-deterioration,5,2,824680
FPSC,PROTECTION,B-Preventing-deterioration,1,1707,178000
FPSC,PROTECTION,B-Preventing-deterioration,1,1704,178000
FPSC,PROTECTION,B-Preventing-deterioration,3,1709,178000
ICMC,PROTECTION,B-Preventing-deterioration,1,1711,400000
ILO,PROTECTION,B-Preventing-deterioration,2,1705,60000
ILO,PROTECTION,B-Preventing-deterioration,1,1707,45000
ILO,PROTECTION,B-Preventing-deterioration,1,1711,45000
ILO,PROTECTION,B-Preventing-deterioration,4,1,400000
IMC,PROTECTION,B-Preventing-deterioration,2,1702,69000
IMC,PROTECTION,B-Preventing-deterioration,2,1705,100000
IMC,PROTECTION,B-Preventing-deterioration,1,1707,198000
IMC,PROTECTION,B-Preventing-deterioration,1,1711,84500
IMC,PROTECTION,B-Preventing-deterioration,4,1,6480
IMC,PROTECTION,B-Preventing-deterioration,2,1712,64500
IRC,PROTECTION,B-Preventing-deterioration,1,1707,1400000
IRC,PROTECTION,B-Preventing-deterioration,1,1711,750000
IRC,PROTECTION,B-Preventing-deterioration,4,1,100000
Internews,PROTECTION,B-Preventing-deterioration,2,1705,500000
Internews,PROTECTION,B-Preventing-deterioration,4,1,100000
Intersos,PROTECTION,B-Preventing-deterioration,4,1,650000
MPDL,PROTECTION,B-Preventing-deterioration,2,1712,133000
MercyCorps,PROTECTION,B-Preventing-deterioration,1,1707,2550000
MercyCorps,PROTECTION,B-Preventing-deterioration,1,1711,1800000
MercyCorps,PROTECTION,B-Preventing-deterioration,4,1,150000
NRC,PROTECTION,B-Preventing-deterioration,5,2,75000
NRC,PROTECTION,B-Preventing-deterioration,1,1707,675000
Questcope,PROTECTION,B-Preventing-deterioration,5,2,267500
SCJordan,PROTECTION,B-Preventing-deterioration,1,1711,300000
SCJordan,PROTECTION,B-Preventing-deterioration,4,1,1160000
SCI,PROTECTION,B-Preventing-deterioration,2,1705,635000
SCI,PROTECTION,B-Preventing-deterioration,1,1707,930000
SCI,PROTECTION,B-Preventing-deterioration,1,1704,152000
SCI,PROTECTION,B-Preventing-deterioration,3,1709,107000
SCI,PROTECTION,B-Preventing-deterioration,1,1711,590000
SCI,PROTECTION,B-Preventing-deterioration,4,1,600000
SCI,PROTECTION,B-Preventing-deterioration,2,1712,300000
TDH,PROTECTION,B-Preventing-deterioration,1,1701,171990
TDH,PROTECTION,B-Preventing-deterioration,1,1707,556210
TDH,PROTECTION,B-Preventing-deterioration,1,1708,171990
TDH,PROTECTION,B-Preventing-deterioration,1,1711,381970
TDHI,PROTECTION,B-Preventing-deterioration,3,1703,190000
TDHI,PROTECTION,B-Preventing-deterioration,3,1706,182000
TDHI,PROTECTION,B-Preventing-deterioration,2,1712,124000
TGH,PROTECTION,B-Preventing-deterioration,2,1705,455000
TGH,PROTECTION,B-Preventing-deterioration,1,1707,357000
UNDP,PROTECTION,B-Preventing-deterioration,1,1711,8700000
UNESCO,PROTECTION,B-Preventing-deterioration,2,1705,113473
UNESCO,PROTECTION,B-Preventing-deterioration,1,1707,113473
UNESCO,PROTECTION,B-Preventing-deterioration,1,1711,113473
UNESCO,PROTECTION,B-Preventing-deterioration,2,1712,113473
UNFPA,PROTECTION,B-Preventing-deterioration,1,1701,22500
UNFPA,PROTECTION,B-Preventing-deterioration,2,1702,45000
UNFPA,PROTECTION,B-Preventing-deterioration,2,1705,225000
UNFPA,PROTECTION,B-Preventing-deterioration,5,2,510000
UNFPA,PROTECTION,B-Preventing-deterioration,1,1707,225000
UNFPA,PROTECTION,B-Preventing-deterioration,1,1708,22500
UNFPA,PROTECTION,B-Preventing-deterioration,3,1709,45000
UNFPA,PROTECTION,B-Preventing-deterioration,1,1711,225000
UNFPA,PROTECTION,B-Preventing-deterioration,4,1,2297720
UNFPA,PROTECTION,B-Preventing-deterioration,2,1712,75000
UNHCR,PROTECTION,B-Preventing-deterioration,1,1701,224020
UNHCR,PROTECTION,B-Preventing-deterioration,2,1702,130000
UNHCR,PROTECTION,B-Preventing-deterioration,2,1705,958112
UNHCR,PROTECTION,B-Preventing-deterioration,3,1703,130000
UNHCR,PROTECTION,B-Preventing-deterioration,5,2,4577500
UNHCR,PROTECTION,B-Preventing-deterioration,1,1707,1053455
UNHCR,PROTECTION,B-Preventing-deterioration,1,1708,172099
UNHCR,PROTECTION,B-Preventing-deterioration,1,1704,474359
UNHCR,PROTECTION,B-Preventing-deterioration,3,1709,403737
UNHCR,PROTECTION,B-Preventing-deterioration,2,1710,130000
UNHCR,PROTECTION,B-Preventing-deterioration,1,1711,1477321
UNHCR,PROTECTION,B-Preventing-deterioration,4,1,22437925
UNHCR,PROTECTION,B-Preventing-deterioration,3,1706,790994
UNHCR,PROTECTION,B-Preventing-deterioration,2,1712,799218
